id,title,release_date
2,Ariel,1988-10-21
3,Shadows in Paradise,1986-10-17
5,Four Rooms,1995-12-09
6,Judgment Night,1993-10-15
8,Life in Loops (A Megacities RMX),2006-01-01
9,Sunday in August,2004-09-02
11,Star Wars,1977-05-25
12,Finding Nemo,2003-05-30
13,Forrest Gump,1994-06-23
14,American Beauty,1999-09-15
15,Citizen Kane,1941-04-17
16,Dancer in the Dark,2000-06-30
17,The Dark,2005-09-28
18,The Fifth Element,1997-05-02
19,Metropolis,1927-02-06
20,My Life Without Me,2003-03-07
21,The Endless Summer,1966-06-15
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09
24,Kill Bill: Vol. 1,2003-10-10
25,Jarhead,2005-11-04
26,Walk on Water,2004-02-05
27,9 Songs,2004-07-16
28,Apocalypse Now,1979-08-15
33,Unforgiven,1992-08-07
35,The Simpsons Movie,2007-07-25
38,Eternal Sunshine of the Spotless Mind,2004-03-19
55,Amores Perros,2000-06-16
58,Pirates of the Caribbean: Dead Man's Chest,2006-07-06
59,A History of Violence,2005-09-23
62,2001: A Space Odyssey,1968-04-02
63,Twelve Monkeys,1995-12-29
64,Talk to Her,2002-03-15
65,8 Mile,2002-11-08
66,Absolute Power,1997-02-14
67,Paradise Now,2005-09-07
68,Brazil,1985-02-20
69,Walk the Line,2005-09-13
70,Million Dollar Baby,2004-12-15
71,Billy Elliot,2000-09-28
73,American History X,1998-07-01
74,War of the Worlds,2005-06-28
75,Mars Attacks!,1996-12-13
76,Before Sunrise,1995-01-27
77,Memento,2000-10-11
78,Blade Runner,1982-06-25
79,Hero,2002-07-22
80,Before Sunset,2004-06-16
81,Nausicaä of the Valley of the Wind,1984-03-11
82,Miami Vice,2006-07-27
83,Open Water,2003-10-26
85,Raiders of the Lost Ark,1981-06-12
86,The Elementary Particles,2006-02-10
87,Indiana Jones and the Temple of Doom,1984-05-23
88,Dirty Dancing,1987-08-21
89,Indiana Jones and the Last Crusade,1989-05-24
90,Beverly Hills Cop,1984-12-05
91,Land Without Bread,1933-12-01
92,Megacities,1998-08-12
93,Anatomy of a Murder,1959-07-01
94,Kunstgriff,2002-01-01
95,Armageddon,1998-07-01
96,Beverly Hills Cop II,1987-05-18
97,Tron,1982-07-09
98,Gladiator,2000-05-04
99,All About My Mother,1999-04-16
100,"Lock, Stock and Two Smoking Barrels",1998-08-28
101,Léon: The Professional,1994-09-14
102,Open Hearts,2002-09-06
103,Taxi Driver,1976-02-09
104,Run Lola Run,1998-03-03
105,Back to the Future,1985-07-03
106,Predator,1987-06-12
107,Snatch,2000-09-01
108,Three Colors: Blue,1993-08-01
109,Three Colors: White,1994-01-26
110,Three Colors: Red,1994-05-12
111,Scarface,1983-12-09
112,Italian for Beginners,2000-12-07
113,"Spring, Summer, Fall, Winter... and Spring",2003-09-19
114,Pretty Woman,1990-03-23
115,The Big Lebowski,1998-03-06
116,Match Point,2005-10-26
117,The Untouchables,1987-06-03
118,Charlie and the Chocolate Factory,2005-07-13
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18
121,The Lord of the Rings: The Two Towers,2002-12-18
122,The Lord of the Rings: The Return of the King,2003-12-01
123,The Lord of the Rings,1978-11-15
124,No End,1985-06-17
125,Railway Station,1980-01-01
126,Short Working Day,1981-01-01
127,Blind Chance,1987-01-10
128,Princess Mononoke,1997-07-12
129,Spirited Away,2001-07-20
132,Gimme Shelter,1970-12-13
133,Primary,1960-01-01
134,"O Brother, Where Art Thou?",2000-08-30
135,Bob Dylan - Dont Look Back,1967-05-17
136,Freaks,1932-02-12
137,Groundhog Day,1993-02-11
138,Dracula,1931-02-12
139,Mifune,1999-03-12
140,Bad Education,2004-03-19
141,Donnie Darko,2001-10-24
142,Brokeback Mountain,2005-09-10
143,All Quiet on the Western Front,1930-04-29
144,Wings of Desire,1987-05-17
145,Breaking the Waves,1996-05-13
146,"Crouching Tiger, Hidden Dragon",2000-07-06
147,The 400 Blows,1959-06-03
148,The Secret Life of Words,2005-12-15
149,Akira,1988-07-16
150,48 Hrs.,1982-12-07
152,Star Trek: The Motion Picture,1979-12-07
153,Lost in Translation,2003-09-18
154,Star Trek II: The Wrath of Khan,1982-06-04
155,The Dark Knight,2008-07-16
156,Wilbur Wants to Kill Himself,2002-11-08
157,Star Trek III: The Search for Spock,1984-06-01
158,Knockin' on Heaven's Door,1997-02-20
159,Maybe... Maybe Not,1994-10-05
160,The Arrival of a Train at La Ciotat,1897-10-10
161,Ocean's Eleven,2001-12-07
162,Edward Scissorhands,1990-12-07
163,Ocean's Twelve,2004-12-09
164,Breakfast at Tiffany's,1961-10-06
165,Back to the Future Part II,1989-11-22
166,The Party,1980-12-17
167,K-PAX,2001-10-22
168,Star Trek IV: The Voyage Home,1986-11-26
169,Predator 2,1990-11-21
170,28 Days Later,2002-10-31
171,The Party 2,1982-12-08
172,Star Trek V: The Final Frontier,1989-06-09
173,"20,000 Leagues Under the Sea",1954-12-23
